unix_ts,real_ts,HR,Ax,Ay,Az
1472639411,2016/08/31-19:30:11,71,0.5455635190010071,-2.0482561588287354,9.58325481414795
1472639412,2016/08/31-19:30:12,71,-0.05503492057323456,-1.6151552200317383,9.978070259094238
1472639511,2016/08/31-19:31:51,0,1.6677974462509155,-0.062213387340307236,9.633503913879395
1472639512,2016/08/31-19:31:52,0,1.6869399547576904,-0.2225324809551239,9.564111709594727
1472639513,2016/08/31-19:31:53,0,1.7874385118484497,-0.4737788736820221,9.430113792419434
1472639514,2016/08/31-19:31:54,0,2.0195422172546387,-1.5481561422348022,9.513862609863281
1472639515,2016/08/31-19:31:55,0,2.2133607864379883,-1.581655740737915,9.396614074707031
1472639516,2016/08/31-19:31:56,0,2.2301106452941895,-1.509871006011963,9.387042999267578
1472639517,2016/08/31-19:31:57,0,2.155933380126953,-1.2035897970199585,9.482755661010742
1472639518,2016/08/31-19:31:58,79,2.3330020904541016,-1.062413215637207,9.410971641540527
1472639519,2016/08/31-19:31:59,79,2.4430718421936035,-0.9140582084655762,9.391828536987305
1472639520,2016/08/31-19:32:00,79,2.2540390491485596,-1.038485050201416,9.53779125213623
1472639521,2016/08/31-19:32:01,80,2.344966173171997,-1.1820544004440308,9.346364974975586
1472639522,2016/08/31-19:32:02,80,-0.5790630578994751,-0.38763725757598877,9.681360244750977
1472639523,2016/08/31-19:32:03,80,-2.3880369663238525,-0.8398807048797607,9.571290969848633
1472639524,2016/08/31-19:32:04,79,-2.550748825073242,-1.0217353105545044,9.343972206115723
1472639525,2016/08/31-19:32:05,80,-2.9216365814208984,-1.8759729862213135,8.958727836608887
1472639526,2016/08/31-19:32:06,80,-3.1034913063049316,-1.1485549211502075,9.174081802368164
1472639527,2016/08/31-19:32:07,80,-3.13938307762146,0.5838487148284912,9.140583038330078
1472639528,2016/08/31-19:32:08,79,-2.861815929412842,0.11246266961097717,9.353544235229492
1472639529,2016/08/31-19:32:09,78,1.8281164169311523,0.2512463629245758,10.39202880859375
1472639530,2016/08/31-19:32:10,78,2.139183282852173,2.4670000076293945,9.09511947631836
1472639531,2016/08/31-19:32:11,78,1.7922240495681763,-1.648654818534851,11.310873031616211
1472639532,2016/08/31-19:32:12,77,0.7896314859390259,-7.652246475219727,10.762916564941406
1472639533,2016/08/31-19:32:13,76,-0.15314064919948578,-11.667403221130371,9.477970123291016
1472639534,2016/08/31-19:32:14,75,-8.870193481445312,-20.066211700439453,15.213566780090332
1472639535,2016/08/31-19:32:15,77,-6.860222339630127,-15.03888988494873,17.056039810180664
1472639536,2016/08/31-19:32:16,75,-2.7876384258270264,-18.821943283081055,12.44985580444336
1472639537,2016/08/31-19:32:17,75,-2.4574286937713623,-14.177474021911621,12.368499755859375
1472639538,2016/08/31-19:32:18,75,0.031106693670153618,-12.569498062133789,10.459028244018555
1472639539,2016/08/31-19:32:19,77,-8.370094299316406,-17.769100189208984,13.526626586914062
1472639540,2016/08/31-19:32:20,78,-4.864608287811279,-18.352949142456055,14.335400581359863
1472639541,2016/08/31-19:32:21,80,-9.260223388671875,-24.483360290527344,6.546762466430664
1472639542,2016/08/31-19:32:22,83,-6.376872539520264,-18.312271118164062,6.252446174621582
1472639543,2016/08/31-19:32:23,83,-5.699703216552734,-10.956734657287598,5.938986301422119
1472639544,2016/08/31-19:32:24,84,-5.419743537902832,-9.422935485839844,6.293124198913574
1472639545,2016/08/31-19:32:25,86,-5.771488666534424,-8.779266357421875,6.197411060333252
1472639546,2016/08/31-19:32:26,86,-6.099304676055908,-10.348958015441895,8.812766075134277
1472639547,2016/08/31-19:32:27,85,-7.377072334289551,-14.818751335144043,12.220145225524902
1472639548,2016/08/31-19:32:28,86,-6.491727352142334,-10.234102249145508,9.262616157531738
1472639549,2016/08/31-19:32:29,86,-4.055834770202637,-9.410971641540527,6.269195556640625
1472639550,2016/08/31-19:32:30,85,-5.852844715118408,-2.9072794914245605,5.929414749145508
1472639551,2016/08/31-19:32:31,86,-4.934000015258789,-0.24406792223453522,4.919642925262451
1472639552,2016/08/31-19:32:32,87,-1.868794322013855,-1.0504491329193115,4.802394866943359
1472639553,2016/08/31-19:32:33,88,-2.8187451362609863,-1.294516921043396,5.996413230895996
1472639554,2016/08/31-19:32:34,88,-3.5772697925567627,-2.8450663089752197,6.618547439575195
1472639555,2016/08/31-19:32:35,89,-5.0009989738464355,-6.735795497894287,7.487142086029053
1472639556,2016/08/31-19:32:36,88,-3.8907296657562256,-5.860023021697998,6.233303070068359
1472639557,2016/08/31-19:32:37,88,-4.579862117767334,-9.315258979797363,7.836494445800781
1472639558,2016/08/31-19:32:38,90,-3.649054527282715,-6.0538411140441895,5.07517671585083
1472639559,2016/08/31-19:32:39,90,-4.371686935424805,-6.580262184143066,5.991628170013428
1472639560,2016/08/31-19:32:40,89,-4.689932346343994,-14.627325057983398,8.511269569396973
1472639561,2016/08/31-19:32:41,89,-4.445864677429199,-16.934005737304688,5.082355499267578
1472639562,2016/08/31-19:32:42,88,-3.0005996227264404,-15.907485008239746,6.69990348815918
1472639563,2016/08/31-19:32:43,88,-2.146361827850342,-13.414163589477539,6.1328043937683105
1472639564,2016/08/31-19:32:44,88,-0.7369893789291382,-12.509675979614258,5.637490272521973
1472639565,2016/08/31-19:32:45,89,3.366701364517212,-11.279767036437988,4.780859470367432
1472639566,2016/08/31-19:32:46,89,5.106283187866211,-5.804987907409668,5.781059265136719
1472639567,2016/08/31-19:32:47,89,3.7495529651641846,-9.09272575378418,4.055834770202637
1472639568,2016/08/31-19:32:48,89,3.9457647800445557,-6.805188179016113,3.7495529651641846
1472639569,2016/08/31-19:32:49,89,4.151546955108643,-4.768895626068115,5.266602516174316
1472639570,2016/08/31-19:32:50,89,3.510270833969116,-6.597012042999268,3.6538403034210205
1472639571,2016/08/31-19:32:51,88,2.6225337982177734,-4.934000015258789,2.675175428390503
1472639572,2016/08/31-19:32:52,88,3.8524444103240967,-4.264009952545166,2.2157537937164307
1472639573,2016/08/31-19:32:53,87,4.132404804229736,-5.946164608001709,2.5363922119140625
1472639574,2016/08/31-19:32:54,87,2.9766712188720703,-5.759523868560791,2.3808584213256836
1472639575,2016/08/31-19:32:55,87,3.675375461578369,-7.278966426849365,3.428915023803711
1472639576,2016/08/31-19:32:56,87,2.469392776489258,-6.56829833984375,2.7397818565368652
1472639577,2016/08/31-19:32:57,87,3.76151704788208,-5.417350769042969,4.177868366241455
1472639578,2016/08/31-19:32:58,87,4.185047149658203,-6.252446174621582,3.778266668319702
1472639579,2016/08/31-19:32:59,87,2.57228422164917,-7.791030406951904,4.697111129760742
1472639580,2016/08/31-19:33:00,86,3.177668571472168,-5.422136306762695,4.187439441680908
1472639581,2016/08/31-19:33:01,85,3.462414264678955,-6.297908782958984,3.6945178508758545
1472639582,2016/08/31-19:33:02,83,2.4909284114837646,-5.836094379425049,2.266003131866455
1472639583,2016/08/31-19:33:03,83,3.6442689895629883,-5.594419479370117,0.5048855543136597
1472639584,2016/08/31-19:33:04,84,-3.0939197540283203,-6.089733123779297,7.434500217437744
1472639585,2016/08/31-19:33:05,84,-0.7417750358581543,-1.741974949836731,9.643074989318848
1472639629,2016/08/31-19:33:49,99,1.4931212663650513,7.010970115661621,6.5659050941467285
1472639630,2016/08/31-19:33:50,98,2.359323024749756,8.159524917602539,4.632504463195801
1472652080,2016/08/31-23:01:20,0,0,0,0
1472652081,2016/08/31-23:01:21,0,0,0,0
1472652082,2016/08/31-23:01:22,0,0,0,0
1472652083,2016/08/31-23:01:23,0,0,0,0
1472652084,2016/08/31-23:01:24,0,0,0,0
1472652085,2016/08/31-23:01:25,0,0,0,0
1472652086,2016/08/31-23:01:26,0,0,0,0
1472652087,2016/08/31-23:01:27,0,0,0,0
1472652088,2016/08/31-23:01:28,0,0.0,0.0,0.0
1472652089,2016/08/31-23:01:29,0,1.4213367700576782,9.3128662109375,5.309673309326172
1472652090,2016/08/31-23:01:30,0,3.5676987171173096,9.150154113769531,-1.954936146736145
1472652091,2016/08/31-23:01:31,0,5.192424774169922,9.664610862731934,-0.3493521213531494
1472652092,2016/08/31-23:01:32,0,3.2446675300598145,9.571290969848633,2.4047868251800537
1472652093,2016/08/31-23:01:33,0,0.3493521213531494,10.535597801208496,3.263810157775879
1472652094,2016/08/31-23:01:34,0,-2.6847469806671143,9.760323524475098,0.5766702890396118
1472652095,2016/08/31-23:01:35,0,-2.3976082801818848,8.989834785461426,0.5455635190010071
1472652096,2016/08/31-23:01:36,0,-1.6510475873947144,9.547362327575684,1.727617859840393
1472652097,2016/08/31-23:01:37,0,-2.878565788269043,9.760323524475098,0.7178468108177185
1472652098,2016/08/31-23:01:38,0,-0.9188438653945923,9.533005714416504,2.194218397140503
1472652099,2016/08/31-23:01:39,0,-0.5120640397071838,9.513862609863281,2.579463005065918
1472652100,2016/08/31-23:01:40,0,-0.1052841916680336,9.482755661010742,1.1581261157989502
1472652101,2016/08/31-23:01:41,0,2.1056838035583496,9.044869422912598,2.9838497638702393
1472652102,2016/08/31-23:01:42,0,3.2303104400634766,7.9585280418396,4.675575256347656
1472652103,2016/08/31-23:01:43,0,3.184847116470337,8.090132713317871,4.570291519165039
1472652104,2016/08/31-23:01:44,0,3.2446675300598145,8.161917686462402,4.479363918304443
1472652105,2016/08/31-23:01:45,115,3.249453067779541,8.12841796875,4.366901397705078
1472652106,2016/08/31-23:01:46,116,3.290131092071533,8.063812255859375,4.378865718841553
1472652107,2016/08/31-23:01:47,117,3.2135608196258545,8.202595710754395,4.584648132324219
1472652108,2016/08/31-23:01:48,118,1.6869399547576904,9.248259544372559,2.5674986839294434
1472652109,2016/08/31-23:01:49,117,2.4981069564819336,9.18126106262207,3.4432716369628906
1472652110,2016/08/31-23:01:50,116,2.629711866378784,8.97787094116211,3.510270833969116
1472652111,2016/08/31-23:01:51,115,2.6775684356689453,8.963513374328613,3.4169507026672363
1472652112,2016/08/31-23:01:52,114,2.629711866378784,8.84626579284668,3.383451223373413
1472652113,2016/08/31-23:01:53,111,2.526820659637451,8.812766075134277,3.6251261234283447
1472652114,2016/08/31-23:01:54,108,2.6703903675079346,8.798408508300781,3.2303104400634766
1472652115,2016/08/31-23:01:55,108,2.603391170501709,8.941977500915527,3.369094133377075
1472652116,2016/08/31-23:01:56,106,2.7804601192474365,8.903693199157715,3.0101709365844727
1472652117,2016/08/31-23:01:57,104,1.813759446144104,9.42772102355957,2.9599215984344482
1472652118,2016/08/31-23:01:58,104,2.3306093215942383,9.214759826660156,3.3643085956573486
1472652119,2016/08/31-23:01:59,104,2.2779672145843506,9.10229778289795,3.2542388439178467
1472652120,2016/08/31-23:02:00,104,2.321038007736206,9.037691116333008,3.153740167617798
